hardware,runtime_profile,sequence_length,window,mode,batch_size,dtype,num_heads,head_dim,model_width,64.0,128.0,256.0,numerator_block,denominator_block,comparison,numerator_latency_ms,denominator_latency_ms,latency_ratio
A100-40GB,baseline,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,2.231295943260193,2.4550400972366333,256,128,block 256 / block 128,2.4550400972366333,2.231295943260193,1.1002754272252757
A100-40GB,compile-disable-caches,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,2.4657920598983765,2.78272008895874,256,128,block 256 / block 128,2.78272008895874,2.4657920598983765,1.1285299089954184
A100-40GB,compile-max-autotune-no-cudagraphs,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,5.831680059432983,5.487360119819641,256,128,block 256 / block 128,5.487360119819641,5.831680059432983,0.9409569907635124
A100-40GB,compile-max-autotune-no-cudagraphs,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,1.578495979309082,1.9174399673938751,256,128,block 256 / block 128,1.9174399673938751,1.578495979309082,1.214725911581448
A100-40GB,compile-max-autotune-no-cudagraphs,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,2.096127986907959,1.850111961364746,256,128,block 256 / block 128,1.850111961364746,2.096127986907959,0.8826331087224707
A100-40GB,compile-reduce-overhead,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,2.6918399930000305,3.0261760354042053,256,128,block 256 / block 128,3.0261760354042053,2.6918399930000305,1.1242035348585337
B200,baseline,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.4311519861221311,1.498176008462906,256,128,block 256 / block 128,1.498176008462906,1.4311519861221311,1.0468322183742234
B200,baseline,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.6490399986505508,0.729215994477272,256,128,block 256 / block 128,0.729215994477272,0.6490399986505508,1.1235301306443652
B200,baseline,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.501848004758358,0.5031760036945343,256,128,block 256 / block 128,0.5031760036945343,0.501848004758358,1.002646217427557
B200,compile-disable-caches,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.3086639940738678,1.5286960303783417,256,128,block 256 / block 128,1.5286960303783417,1.3086639940738678,1.1681348591394454
B200,compile-disable-caches,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.6371680051088333,0.708392009139061,256,128,block 256 / block 128,0.708392009139061,0.6371680051088333,1.1117821413805329
B200,compile-disable-caches,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.5060400068759918,0.5255679935216904,256,128,block 256 / block 128,0.5255679935216904,0.5060400068759918,1.0385898078815021
B200,compile-max-autotune-no-cudagraphs,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.0676559805870056,1.0730240046977997,256,128,block 256 / block 128,1.0730240046977997,1.0676559805870056,1.0050278593558224
B200,compile-max-autotune-no-cudagraphs,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.3657279908657074,0.4217440038919449,256,128,block 256 / block 128,0.4217440038919449,0.3657279908657074,1.1531630458298887
B200,compile-max-autotune-no-cudagraphs,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.5406960099935532,0.5036080032587051,256,128,block 256 / block 128,0.5036080032587051,0.5406960099935532,0.9314069161795919
B200,compile-reduce-overhead,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.842344015836716,1.4511519968509674,256,128,block 256 / block 128,1.4511519968509674,1.842344015836716,0.7876661385587722
B200,compile-reduce-overhead,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.7531439810991287,0.8207679837942123,256,128,block 256 / block 128,0.8207679837942123,0.7531439810991287,1.0897889439365818
B200,compile-reduce-overhead,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.5607519894838333,0.573663979768753,256,128,block 256 / block 128,0.573663979768753,0.5607519894838333,1.023026205037284
H100,baseline,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,2.005511999130249,1.979583978652954,256,128,block 256 / block 128,1.979583978652954,2.005511999130249,0.9870716203699906
H100,baseline,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.818200021982193,0.9363360106945038,256,128,block 256 / block 128,0.9363360106945038,0.818200021982193,1.1443852182087595
H100,baseline,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.4920639991760254,0.5101040005683899,256,128,block 256 / block 128,0.5101040005683899,0.4920639991760254,1.0366619005303639
H100,compile-disable-caches,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.918472021818161,2.116983950138092,256,128,block 256 / block 128,2.116983950138092,1.918472021818161,1.103473976196848
H100,compile-disable-caches,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.830607995390892,0.9925200045108796,256,128,block 256 / block 128,0.9925200045108796,0.830607995390892,1.1949319173646893
H100,compile-disable-caches,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.4880400002002716,0.5080880001187325,256,128,block 256 / block 128,0.5080880001187325,0.4880400002002716,1.041078599930813
H100,compile-max-autotune-no-cudagraphs,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,1.897279977798462,2.020887970924377,256,128,block 256 / block 128,2.020887970924377,1.897279977798462,1.0651501067698745
H100,compile-max-autotune-no-cudagraphs,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.4260480031371116,0.4820160120725631,256,128,block 256 / block 128,0.4820160120725631,0.4260480031371116,1.1313654999515155
H100,compile-max-autotune-no-cudagraphs,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.485847994685173,0.4898319989442825,256,128,block 256 / block 128,0.4898319989442825,0.485847994685173,1.008200104359165
H100,compile-reduce-overhead,2048.0,4096.0,training,2.0,bfloat16,16.0,256.0,4096.0,,2.016991972923279,2.1343039870262146,256,128,block 256 / block 128,2.1343039870262146,2.016991972923279,1.0581618646369289
H100,compile-reduce-overhead,4096.0,1024.0,forward,2.0,bfloat16,32.0,128.0,4096.0,,0.9680159986019136,1.0758079886436462,256,128,block 256 / block 128,1.0758079886436462,0.9680159986019136,1.1113535212201189
H100,compile-reduce-overhead,4096.0,4096.0,forward,1.0,float16,16.0,256.0,4096.0,,0.5822239816188812,0.5695279985666275,256,128,block 256 / block 128,0.5695279985666275,0.5822239816188812,0.9781939881333085
A100-40GB,baseline,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.6177280098199844,,1.4123520255088806,64,256,block 64 / block 256,0.6177280098199844,1.4123520255088806,0.43737538422647326
A100-40GB,compile-disable-caches,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.7964160144329071,,1.3972479701042175,64,256,block 64 / block 256,0.7964160144329071,1.3972479701042175,0.5699890294873746
A100-40GB,compile-max-autotune-no-cudagraphs,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.5493759959936142,,1.0380799770355225,64,256,block 64 / block 256,0.5493759959936142,1.0380799770355225,0.5292231891057994
A100-40GB,compile-reduce-overhead,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,1.1443199813365936,,1.579520046710968,64,256,block 64 / block 256,1.1443199813365936,1.579520046710968,0.7244732244579036
B200,baseline,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.2955119982361793,,0.451104000210762,64,256,block 64 / block 256,0.2955119982361793,0.451104000210762,0.6550861843346811
B200,compile-disable-caches,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.2724080011248588,,0.4302159994840622,64,256,block 64 / block 256,0.2724080011248588,0.4302159994840622,0.6331889131309503
B200,compile-max-autotune-no-cudagraphs,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.1690320000052452,,0.2780079990625381,64,256,block 64 / block 256,0.1690320000052452,0.2780079990625381,0.6080112823200506
B200,compile-reduce-overhead,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.3754080012440681,,0.5246639996767044,64,256,block 64 / block 256,0.3754080012440681,0.5246639996767044,0.7155207932608161
H100,baseline,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.3116879984736442,,0.5358079969882965,64,256,block 64 / block 256,0.3116879984736442,0.5358079969882965,0.5817158389303628
H100,compile-disable-caches,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.2932479903101921,,0.5753519982099533,64,256,block 64 / block 256,0.2932479903101921,0.5753519982099533,0.509684490924775
H100,compile-max-autotune-no-cudagraphs,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.2232480011880397,,0.2981520071625709,64,256,block 64 / block 256,0.2232480011880397,0.2981520071625709,0.7487724242161854
H100,compile-reduce-overhead,4096.0,128.0,forward,2.0,float16,32.0,128.0,4096.0,0.4679920002818107,,0.6926480084657669,64,256,block 64 / block 256,0.4679920002818107,0.6926480084657669,0.6756563139745756
