cell_id,suite,hardware,replicate_1_median_ms,replicate_2_median_ms,mean_replicate_median_ms,signed_difference_pct,absolute_difference_pct
00226e3238b3172bdf5b,distributed_moe,A100-40GB,59.26724815368652,44.14361572265625,51.70543193817139,-29.249600794583625,29.249600794583625
00409d3ab172fe6039e6,attention,A100-40GB,1.4924800395965576,1.2247040271759033,1.3585920333862305,-19.709817652414348,19.709817652414348
005280927b57185565b4,single_moe,H100,0.2544479966163635,0.29705600440502167,0.2757520005106926,15.451567970403888,15.451567970403888
0075064ad0076b4426a3,attention,B200,0.18660800158977509,0.14936000108718872,0.1679840013384819,-22.17354045968517,22.17354045968517
00afd8c4d51a2eb05db0,attention,H100,1.863375961780548,1.5487040281295776,1.7060399949550629,-18.444581286575225,18.444581286575225
00b222556305c45912d2,single_moe,B200,5.667232036590576,5.779008150100708,5.723120093345642,1.9530625198673641,1.9530625198673641
00cdbb06457758b352c4,attention,H100,1.9453599452972412,1.718991994857788,1.8321759700775146,-12.355142417345212,12.355142417345212
011142da802a9ae2ee91,attention,B200,0.4339359998703003,0.46827200055122375,0.451104000210762,7.61154870382023,7.61154870382023
012036e00eecf5c59cd0,attention,B200,0.8426879942417145,0.8598400056362152,0.8512639999389648,2.0148874374730426,2.0148874374730426
0165c8badd6ecc654975,attention,B200,0.209136001765728,0.18806400150060654,0.19860000163316727,-10.610271949565947,10.610271949565947
01968afc84c24d23598b,single_moe,A100-40GB,7.879679918289185,7.962111949920654,7.920895934104919,1.0406907541423815,1.0406907541423815
01991ac29fa7746fe414,distributed_moe,B200,7.790799856185913,7.324096202850342,7.557448029518127,-6.175413334140108,6.175413334140108
01c5267409ec109ccd6d,distributed_moe,H100,23.885136604309082,23.95780849456787,23.921472549438477,0.30379354828009925,0.30379354828009925
01e297741008d860a0e5,attention,H100,0.5382240116596222,0.5267040133476257,0.532464012503624,-2.1635261804511257,2.1635261804511257
01f970a680098233daf0,attention,A100-40GB,7.77676796913147,7.4260478019714355,7.601407885551453,-4.613884328279153,4.613884328279153
0223dc735570b787ea4b,attention,B200,14.378976345062256,14.411119937896729,14.395048141479492,0.22329618156573255,0.22329618156573255
