cell_id,hardware,world_size,suite,runtime_profile,baseline_median_ms,profile_median_ms,latency_effect_pct,runtime_profile_label
0075064ad0076b4426a3,B200,1,attention,compile-reduce-overhead,0.1127679999917745,0.1679840013384819,48.96424637373623,reduce overhead
00afd8c4d51a2eb05db0,H100,1,attention,compile-max-autotune-no-cudagraphs,1.5642080008983612,1.7060399949550629,9.067335928165834,"max autotune
(no CUDA graphs)"
00cdbb06457758b352c4,H100,1,attention,compile-disable-caches,1.9540239870548248,1.8321759700775144,-6.235748270468465,disable caches
012036e00eecf5c59cd0,B200,1,attention,compile-reduce-overhead,0.7655519992113113,0.8512639999389648,11.196104355544223,reduce overhead
0165c8badd6ecc654975,B200,1,attention,compile-reduce-overhead,0.1385679990053177,0.1986000016331672,43.32313597567775,reduce overhead
01e297741008d860a0e5,H100,1,attention,compile-max-autotune-no-cudagraphs,0.5211440026760101,0.532464012503624,2.172146233955869,"max autotune
(no CUDA graphs)"
01f970a680098233daf0,A100-40GB,1,attention,compile-max-autotune-no-cudagraphs,8.979968070983887,7.601407885551453,-15.351504309763015,"max autotune
(no CUDA graphs)"
0223dc735570b787ea4b,B200,1,attention,compile-max-autotune-no-cudagraphs,18.59980773925781,14.395048141479492,-22.606468070653847,"max autotune
(no CUDA graphs)"
023b92ad3149db3e0965,H100,1,attention,compile-reduce-overhead,0.2862959951162338,0.3646399974822998,27.364686793560963,reduce overhead
023fed7c10b467c00ee3,B200,1,attention,compile-reduce-overhead,1.244383990764618,1.384112000465393,11.228689113472006,reduce overhead
02e1c01843deca22d5a8,B200,1,attention,compile-reduce-overhead,8.578959941864014,8.851111888885498,3.1723186594382438,reduce overhead
0321997167def4d44f32,B200,1,attention,compile-max-autotune-no-cudagraphs,0.7655519992113113,0.4554880037903785,-40.50201628894805,"max autotune
(no CUDA graphs)"
03333a6efd3dee37d227,H100,1,attention,compile-max-autotune-no-cudagraphs,2.319239974021912,2.4234960079193115,4.495267202410462,"max autotune
(no CUDA graphs)"
