cell_id,hardware,mode,world_size,phase,share_pct
15add0e123733edb6175,H100,forward,4,return,21.5588076800014
15add0e123733edb6175,H100,forward,4,combine,36.73823659086516
17501b5c90260133776f,A100-40GB,training,8,pack,3.7217784888726584
17501b5c90260133776f,A100-40GB,training,8,dispatch,16.700774165550275
17501b5c90260133776f,A100-40GB,training,8,expert_compute,9.496592345342862
17501b5c90260133776f,A100-40GB,training,8,return,19.467447413199444
17501b5c90260133776f,A100-40GB,training,8,combine,50.613407587034764
1908b5916c9a041cf380,A100-40GB,forward,8,pack,3.5623487628736314
1908b5916c9a041cf380,A100-40GB,forward,8,dispatch,16.04820182354543
1908b5916c9a041cf380,A100-40GB,forward,8,expert_compute,9.37884021282135
1908b5916c9a041cf380,A100-40GB,forward,8,return,16.881916810156902
1908b5916c9a041cf380,A100-40GB,forward,8,combine,54.12869239060269
199b5b10f28f08e09800,H100,forward,8,pack,4.763078885859764
199b5b10f28f08e09800,H100,forward,8,dispatch,19.51128520451266
199b5b10f28f08e09800,H100,forward,8,expert_compute,9.64898090856715
199b5b10f28f08e09800,H100,forward,8,return,20.806838189240914
199b5b10f28f08e09800,H100,forward,8,combine,45.26981681181951
1aedbda8315724f6d8cb,B200,forward,2,pack,3.6077649325893235
1aedbda8315724f6d8cb,B200,forward,2,dispatch,15.406632993085367
1aedbda8315724f6d8cb,B200,forward,2,expert_compute,18.12656547965171
1aedbda8315724f6d8cb,B200,forward,2,return,18.310019485842638
1aedbda8315724f6d8cb,B200,forward,2,combine,44.54901710883097
1b69e286e23df9653446,H100,training,4,pack,4.964468400675646
1b69e286e23df9653446,H100,training,4,dispatch,17.83168527685251
1b69e286e23df9653446,H100,training,4,expert_compute,22.66373911011935
1b69e286e23df9653446,H100,training,4,return,21.929830312778968
1b69e286e23df9653446,H100,training,4,combine,32.61027689957353
1ce61436846a93e9edb6,B200,forward,8,pack,4.295592149254016
1ce61436846a93e9edb6,B200,forward,8,dispatch,18.762920678475666
1ce61436846a93e9edb6,B200,forward,8,expert_compute,32.05317441164455
1ce61436846a93e9edb6,B200,forward,8,return,21.363946602278837
1ce61436846a93e9edb6,B200,forward,8,combine,23.52436615834693
1e2436ef4ff8f07fc68f,B200,forward,2,pack,3.994356475561712
1e2436ef4ff8f07fc68f,B200,forward,2,dispatch,17.295001311657614
1e2436ef4ff8f07fc68f,B200,forward,2,expert_compute,37.719431110743315
1e2436ef4ff8f07fc68f,B200,forward,2,return,21.611329641804872
1e2436ef4ff8f07fc68f,B200,forward,2,combine,19.379881460232482
201611e85f418280ada7,B200,training,8,pack,3.343648086306229
201611e85f418280ada7,B200,training,8,dispatch,20.530634508871238
201611e85f418280ada7,B200,training,8,expert_compute,7.556708800729132
201611e85f418280ada7,B200,training,8,return,22.35533950173913
201611e85f418280ada7,B200,training,8,combine,46.213669102354274
2098ca62aa4defab92d8,H100,training,8,pack,5.158187333047456
2098ca62aa4defab92d8,H100,training,8,dispatch,21.0235890092701
2098ca62aa4defab92d8,H100,training,8,expert_compute,11.031176290004435
2098ca62aa4defab92d8,H100,training,8,return,22.124511471412887
2098ca62aa4defab92d8,H100,training,8,combine,40.662535896265126
21232e05fce58c7afe6e,H100,training,4,pack,5.089083828298291
21232e05fce58c7afe6e,H100,training,4,dispatch,17.747085261985234
21232e05fce58c7afe6e,H100,training,4,expert_compute,20.839861165330362
21232e05fce58c7afe6e,H100,training,4,return,21.757486861407152
21232e05fce58c7afe6e,H100,training,4,combine,34.56648288297896
215ce7dfe38483a0d26c,A100-40GB,training,2,pack,4.119637555543943
215ce7dfe38483a0d26c,A100-40GB,training,2,dispatch,11.294759414290393
215ce7dfe38483a0d26c,A100-40GB,training,2,expert_compute,12.238833379052448
215ce7dfe38483a0d26c,A100-40GB,training,2,return,12.032934532191547
215ce7dfe38483a0d26c,A100-40GB,training,2,combine,60.31383511892167
2228d0c4f4d067d1beb3,B200,forward,4,pack,3.7285214192487013
2228d0c4f4d067d1beb3,B200,forward,4,dispatch,15.056590106495204
2228d0c4f4d067d1beb3,B200,forward,4,expert_compute,7.2500441682620735
2228d0c4f4d067d1beb3,B200,forward,4,return,16.58430764638416
2228d0c4f4d067d1beb3,B200,forward,4,combine,57.38053665960986
23338296622a2b7695a4,A100-40GB,forward,8,pack,4.131572574767444
23338296622a2b7695a4,A100-40GB,forward,8,dispatch,13.93416292667236
23338296622a2b7695a4,A100-40GB,forward,8,expert_compute,8.018775893999672
23338296622a2b7695a4,A100-40GB,forward,8,return,14.862685725539814
23338296622a2b7695a4,A100-40GB,forward,8,combine,59.05280287902071
23af9df6218e69e1a669,B200,forward,4,pack,3.769792965764543
23af9df6218e69e1a669,B200,forward,4,dispatch,16.111640609147685
23af9df6218e69e1a669,B200,forward,4,expert_compute,17.70554907809438
23af9df6218e69e1a669,B200,forward,4,return,19.003411642059945
23af9df6218e69e1a669,B200,forward,4,combine,43.40960570493344
23d222c4c13e2e63d632,B200,training,2,pack,4.0253962551547495
23d222c4c13e2e63d632,B200,training,2,dispatch,14.9601640032561
23d222c4c13e2e63d632,B200,training,2,expert_compute,11.044501261925975
23d222c4c13e2e63d632,B200,training,2,return,16.955020203049962
23d222c4c13e2e63d632,B200,training,2,combine,53.014918276613216
24847da4da801977325e,B200,training,8,pack,3.46796609390395
24847da4da801977325e,B200,training,8,dispatch,16.56118702162079
24847da4da801977325e,B200,training,8,expert_compute,8.95630129618523
24847da4da801977325e,B200,training,8,return,18.65689176759239
24847da4da801977325e,B200,training,8,combine,52.357653820697635
2625e68728648c724858,H100,forward,8,pack,4.507463792694427
2625e68728648c724858,H100,forward,8,dispatch,20.070165913290282
2625e68728648c724858,H100,forward,8,expert_compute,31.143810370382567
2625e68728648c724858,H100,forward,8,return,22.694822670373238
2625e68728648c724858,H100,forward,8,combine,21.58373725325949
264a68ba666bcddde4a6,H100,forward,4,pack,4.0287976121023
264a68ba666bcddde4a6,H100,forward,4,dispatch,18.813155193045922
264a68ba666bcddde4a6,H100,forward,4,expert_compute,44.660399749571
264a68ba666bcddde4a6,H100,forward,4,return,20.09217332454186
264a68ba666bcddde4a6,H100,forward,4,combine,12.405474120738914
26afb29e2cd0ba7ba81b,H100,training,8,pack,3.79640390594929
26afb29e2cd0ba7ba81b,H100,training,8,dispatch,18.475535907949727
26afb29e2cd0ba7ba81b,H100,training,8,expert_compute,41.77209625549746
26afb29e2cd0ba7ba81b,H100,training,8,return,16.542949533925686
26afb29e2cd0ba7ba81b,H100,training,8,combine,19.413014396677845
28b97cc0f08982bfe30e,B200,forward,2,pack,3.9032701957604443
28b97cc0f08982bfe30e,B200,forward,2,dispatch,15.619230455035666
28b97cc0f08982bfe30e,B200,forward,2,expert_compute,12.074081834863076
28b97cc0f08982bfe30e,B200,forward,2,return,17.661381120907514
28b97cc0f08982bfe30e,B200,forward,2,combine,50.742036393433295
2adc078a223c1f5028d8,A100-40GB,forward,2,pack,3.535026109615147
2adc078a223c1f5028d8,A100-40GB,forward,2,dispatch,14.297836623249722
2adc078a223c1f5028d8,A100-40GB,forward,2,expert_compute,23.210255723219753
2adc078a223c1f5028d8,A100-40GB,forward,2,return,15.595494369569826
2adc078a223c1f5028d8,A100-40GB,forward,2,combine,43.36138717434555
2b2fd408eecf5a56b391,A100-40GB,forward,2,pack,3.726030608506684
2b2fd408eecf5a56b391,A100-40GB,forward,2,dispatch,17.083421808596054
2b2fd408eecf5a56b391,A100-40GB,forward,2,expert_compute,38.780952742220336
2b2fd408eecf5a56b391,A100-40GB,forward,2,return,17.680271768053473
2b2fd408eecf5a56b391,A100-40GB,forward,2,combine,22.72932307262345
2b73df0e6d50c4620d24,H100,training,2,pack,4.097820905872921
2b73df0e6d50c4620d24,H100,training,2,dispatch,15.971339926302788
2b73df0e6d50c4620d24,H100,training,2,expert_compute,33.50551924902777
2b73df0e6d50c4620d24,H100,training,2,return,20.664480563665734
2b73df0e6d50c4620d24,H100,training,2,combine,25.760839355130784
2c5da79f98b57c4b3e83,B200,training,8,pack,3.801051724199298
2c5da79f98b57c4b3e83,B200,training,8,dispatch,16.608322678566417
2c5da79f98b57c4b3e83,B200,training,8,expert_compute,9.777591309857883
2c5da79f98b57c4b3e83,B200,training,8,return,18.461180972765405
2c5da79f98b57c4b3e83,B200,training,8,combine,51.351853314611
