cell_id,suite,hardware,world_size,runtime_profile,case_kind,collective,overlap,mode,tokens,num_experts,routing_variant,routed_experts_per_token,shared_experts_per_token,network_copies_per_token,routing_profile,capacity_factor,hidden_size,intermediate_size,executed_replicates,successful_sample_replicates,statuses,replicate_count,replicate_medians_ms,replicate_min_ms,replicate_max_ms,median_of_replicate_medians_ms,hierarchical_bootstrap_samples,hierarchical_ci95_low_ms,hierarchical_ci95_high_ms,independence_unit,median_ms,tokens_per_second,useful_tflops,peak_efficiency_pct,effective_bandwidth_gbps,gpu_ms_per_token,algorithmic_flops,phase_share_pct,scaling_efficiency_pct,sequence_length,window,batch_size,dtype,num_heads,head_dim,model_width,block_size,message_bytes_per_rank,compile_time_ms,first_call_ms,peak_allocated_bytes,peak_reserved_bytes,p05_ms,p95_ms,cv_pct,tail_inflation,latency_per_batch_token_ms,attention_type,attention_density
081f62e61595bb2c250e,distributed_moe,H100,2,baseline,collective,all_reduce,False,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.13977599889039993, 0.12958399951457977]",0.1295839995145797,0.1397759988903999,0.1346799992024898,4000.0,0.1282560043036937,0.1465446019545197,fresh Modal container replicate,0.1346799992024898,,,,124.74955827746383,,,,,,,,,,,,,16777216.0,0.0,0.5154284881427884,117706752.0,125829120.0,0.12690160050988197,0.15816159844398495,8.441143393459647,1.1743510497515732,,global,1.0
094e121f76fe8ce3e947,distributed_moe,H100,8,baseline,collective,all_reduce,True,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[1.396943986415863, 1.41839998960495]",1.396943986415863,1.41839998960495,1.4076719880104065,4000.0,1.3958159685134888,1.4235679805278778,fresh Modal container replicate,1.4076719880104065,,,,333.7349452682531,,,,,,,,,,,,,268435456.0,0.0,2.0101659999909316,872809472.0,1075838976.0,1.3924687951803207,1.4856079846620558,2.9966343754152573,1.0553651683882717,,global,1.0
097486cef32083cf1706,distributed_moe,B200,4,baseline,collective,all_reduce,False,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.09827199950814247, 0.10633600130677223]",0.0982719995081424,0.1063360013067722,0.1023040004074573,4000.0,0.0939360000193119,0.1165200006216764,fresh Modal container replicate,0.1023040004074573,,,,15.398331716754123,,,,,,,,,,,,,1048576.0,0.0,17.018432001350448,11929600.0,171966464.0,0.08703840114176264,0.1226807996630668,13.96867378364075,1.1991789096658254,,global,1.0
09ae6be4c607461c5cff,distributed_moe,H100,8,baseline,collective,all_reduce,True,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.44574399292469025, 0.44916799664497375]",0.4457439929246902,0.4491679966449737,0.447455994784832,4000.0,0.4384239986538887,0.4567204020917416,fresh Modal container replicate,0.447455994784832,,,,262.4665499878121,,,,,,,,,,,,,67108864.0,0.0,2.008087000007208,252052480.0,589299712.0,0.42961280718445777,0.48326479196548455,4.6447300509609235,1.0800275280653506,,global,1.0
0c2925d4eafafddc8150,distributed_moe,A100-40GB,4,baseline,collective,all_reduce,True,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.2412319928407669, 0.3884640038013458]",0.2412319928407669,0.3884640038013458,0.3148479983210563,4000.0,0.2369119971990585,0.3913200050592422,fresh Modal container replicate,0.3148479983210563,,,,1.321132666038531,,,,,,,,,,,,,262144.0,0.0,0.6193015002793345,18220032.0,492830720.0,0.30598239861428733,0.3308503992855548,3.4886671217363387,1.0508257986388103,,global,1.0
0d5202f95613ce171904,distributed_moe,H100,2,baseline,collective,all_reduce,False,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.0873119980096817, 0.0966080017387867]",0.0873119980096817,0.0966080017387867,0.0919599998742342,4000.0,0.0809838001616299,0.1126162006519734,fresh Modal container replicate,0.0919599998742342,,,,11.431727132223989,,,,,,,,,,,,,1048576.0,0.0,0.30201350091374474,70518784.0,91226112.0,0.07382320072501895,0.2834576044231649,72.09384724936675,3.082401096246472,,global,1.0
1231a64dc65ab526890a,distributed_moe,A100-40GB,8,baseline,collective,all_reduce,False,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.20843199640512466, 0.17657600343227386]",0.1765760034322738,0.2084319964051246,0.1925039999186992,4000.0,0.1694240011274814,0.2130972002632916,fresh Modal container replicate,0.1925039999186992,,,,2.3995049892514686,,,,,,,,,,,,,262144.0,0.0,0.34405549999405594,18089984.0,56623104.0,0.17249199673533439,0.2430112060159444,15.32472199350072,1.2623696448830988,,global,1.0
14940e0bbb264940878e,distributed_moe,H100,8,baseline,collective,all_reduce,False,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.1735680028796196, 0.19337599724531174]",0.1735680028796196,0.1933759972453117,0.1834720000624656,4000.0,0.1722400039434433,0.1974959969520568,fresh Modal container replicate,0.1834720000624656,,,,160.49278271736222,,,,,,,,,,,,,16777216.0,0.0,0.9845234999943386,101249024.0,513802240.0,0.1698263999074697,0.2405592016875743,14.55240821491259,1.3111493939438854,,global,1.0
17829d18e217735b5962,distributed_moe,A100-40GB,4,baseline,collective,all_reduce,True,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.8150560259819031, 0.7338880002498627]",0.7338880002498627,0.8150560259819031,0.7744720131158829,4000.0,0.7293040007352829,0.8706174038350583,fresh Modal container replicate,0.7744720131158829,,,,130.33457059082104,,,,,,,,,,,,,67108864.0,0.0,1.8823585000120602,218760192.0,593494016.0,0.7281680151820183,0.8817503973841667,7.368868613896641,1.1385180903266958,,global,1.0
188d40a75ee1d19fbdc6,distributed_moe,H100,4,baseline,collective,all_reduce,True,,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.17790400236845016, 0.182608000934124]",0.1779040023684501,0.182608000934124,0.180256001651287,4000.0,0.1748480051755905,0.1872164061293006,fresh Modal container replicate,0.180256001651287,,,,139.63534671421445,,,,,,,,,,,,,16777216.0,0.0,1.8040015222311467,101057536.0,513802240.0,0.17356800399720665,0.19964800216257567,5.362732026085329,1.1075803320479911,,global,1.0
