cell_id,suite,hardware,world_size,runtime_profile,case_kind,collective,overlap,mode,tokens,num_experts,routing_variant,routed_experts_per_token,shared_experts_per_token,network_copies_per_token,routing_profile,capacity_factor,hidden_size,intermediate_size,executed_replicates,successful_sample_replicates,statuses,replicate_count,replicate_medians_ms,replicate_min_ms,replicate_max_ms,median_of_replicate_medians_ms,hierarchical_bootstrap_samples,hierarchical_ci95_low_ms,hierarchical_ci95_high_ms,independence_unit,median_ms,tokens_per_second,useful_tflops,peak_efficiency_pct,effective_bandwidth_gbps,gpu_ms_per_token,algorithmic_flops,phase_share_pct,scaling_efficiency_pct,sequence_length,window,batch_size,dtype,num_heads,head_dim,model_width,block_size,message_bytes_per_rank,compile_time_ms,first_call_ms,peak_allocated_bytes,peak_reserved_bytes,p05_ms,p95_ms,cv_pct,tail_inflation,latency_per_batch_token_ms,attention_type,attention_density,peak_reserved_gib,pareto_optimal
00409d3ab172fe6039e6,attention,A100-40GB,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[1.4924800395965576, 1.2247040271759033]",1.224704027175903,1.4924800395965576,1.3585920333862305,4000.0,1.2205887958407402,1.4965760111808777,fresh Modal container replicate,1.3585920333862305,6088906.844261147,44.70524116311289,14.328602936895155,,,60146319360.0,,,2048.0,512.0,4.0,bfloat16,32.0,128.0,4096.0,128.0,,1099.2646019973763,1.478875002192126,279058432.0,360710144.0,1.350655972957611,1.3733120262622833,0.6922410813769827,1.0108347410512661,0.0001658437540754676,windowed,0.25,0.3359375,False
011142da802a9ae2ee91,attention,B200,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.4339359998703003, 0.46827200055122375]",0.4339359998703003,0.4682720005512237,0.451104000210762,4000.0,0.4326719939708709,0.4716559946537018,fresh Modal container replicate,0.451104000210762,18186232.95860535,37.54802401565495,1.668801067362442,,,16913530880.0,,,4096.0,128.0,2.0,float16,32.0,128.0,4096.0,256.0,,1705.5236074957065,0.5914389912504703,279058432.0,530579456.0,0.44638000056147575,0.4704640060663222,2.0760565800755297,1.0429169456411713,5.5066406275727786e-05,windowed,0.03125,0.494140625,False
024b441be28fc920387f,attention,A100-40GB,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[1.4417920112609863, 1.5871999859809875]",1.4417920112609863,1.5871999859809875,1.514495998620987,4000.0,1.439743995666504,1.6081920266151428,fresh Modal container replicate,1.514495998620987,1355388.5632011024,34.14278006246104,10.943198737968284,,,51589939200.0,,,1024.0,4096.0,2.0,float16,32.0,128.0,4096.0,256.0,,6779.5783574911175,2.218476998677943,143265792.0,169869312.0,1.5025151699781416,1.5827455937862396,2.0251230727748393,1.0450642294383061,0.0007394999993266538,windowed,1.0,0.158203125,False
02d18af80df192c24913,attention,A100-40GB,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[2.0014079809188843, 2.6383360624313354]",2.0014079809188843,2.6383360624313354,2.31987202167511,4000.0,1.9988479614257808,2.63962247222662,fresh Modal container replicate,2.31987202167511,3599052.8980765613,105.67602462663405,33.87052071366476,,,240534945792.0,,,8192.0,2048.0,1.0,float16,64.0,64.0,4096.0,128.0,,1273.9790659907158,2.4536194978281856,281217024.0,1432354816.0,2.3131136298179626,2.333158403635025,0.3130378407741151,1.0057272047060257,0.00028318750264588743,windowed,0.25,1.333984375,False
03b27568dd0397082b0f,attention,H100,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.17190400511026382, 0.17019199579954147]",0.1701919957995414,0.1719040051102638,0.1710480004549026,4000.0,0.160335998982191,0.189377596694976,fresh Modal container replicate,0.1710480004549026,11973547.117958412,87.9107408238201,8.884359860921688,,,15036579840.0,,,2048.0,512.0,1.0,float16,64.0,64.0,4096.0,128.0,,5259.234460492735,1.5283215034287423,101718016.0,140509184.0,0.14864399917423726,0.22356639876961698,15.756635579171462,1.3070389491548664,8.351953147212041e-05,windowed,0.25,0.130859375,False
080a240e825af0f6cc31,attention,A100-40GB,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.7321600019931793, 0.7168000042438507]",0.7168000042438507,0.7321600019931793,0.724480003118515,4000.0,0.7142400145530701,0.73471999168396,fresh Modal container replicate,0.724480003118515,2827172.8149074465,35.58564683862255,11.405656038020048,,,25778192384.0,,,2048.0,1024.0,1.0,bfloat16,32.0,128.0,4096.0,128.0,,1779.3684944990673,0.882636486494448,76158976.0,140509184.0,0.7138559982180596,0.7504640027880668,1.8919753467769747,1.0358657237711242,0.0003537500015227124,windowed,0.5,0.130859375,False
08d09d2647b30e464323,attention,H100,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.6659519970417023, 0.6656320095062256]",0.6656320095062256,0.6659519970417023,0.6657920032739639,4000.0,0.6632080227136612,0.6703841902315616,fresh Modal container replicate,0.6657920032739639,12304143.685685083,309.69431223719874,31.298060862779053,,,206191984640.0,,,4096.0,2048.0,2.0,bfloat16,16.0,256.0,4096.0,128.0,,2145.5056204977154,0.7445609990099911,303056896.0,543162368.0,0.6620888099074365,0.679743194580078,1.053380867888957,1.0209542788701436,8.12734378996538e-05,windowed,0.5,0.505859375,False
09febac6d490b0a8af58,attention,A100-40GB,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[3.340799927711487, 4.126208066940308]",3.340799927711487,4.126208066940308,3.733503997325897,4000.0,3.340031921863556,4.133119940757752,fresh Modal container replicate,3.733503997325897,4437465.285405174,111.6906462364254,35.798284050136346,,,412383969280.0,,,4096.0,2048.0,4.0,bfloat16,64.0,64.0,4096.0,64.0,,1128.0999364989839,3.784510494369897,553846784.0,727711744.0,3.7285632848739625,3.8746880412101743,1.8710981981158277,1.0378154259337606,0.00022787499983678572,windowed,0.5,0.677734375,False
0ba357f51aba5f5d5a27,attention,B200,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.4456000030040741, 0.44675201177597046]",0.4456000030040741,0.4467520117759704,0.4461760073900223,4000.0,0.44480000436306,0.4482719974592328,fresh Modal container replicate,0.4461760073900223,36720995.82841733,152.82044638327457,6.792019839256648,,,68184702976.0,,,16384.0,256.0,1.0,float16,16.0,256.0,4096.0,64.0,,1062.0130425013485,0.5073645006632432,548540416.0,5259657216.0,0.4434575945138931,0.4508087962865829,0.619199780486853,1.010383321424343,2.7232422326051164e-05,windowed,0.015625,4.8984375,False
0c4eee274fdcc119dddc,attention,H100,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.14959999918937683, 0.13132800161838531]",0.1313280016183853,0.1495999991893768,0.140464000403881,4000.0,0.1309120059013366,0.1509680040180683,fresh Modal container replicate,0.140464000403881,14642190.682264289,28.80271185984481,2.910834952990885,,,4028628992.0,,,1024.0,128.0,2.0,bfloat16,32.0,128.0,4096.0,128.0,,854.7576790151652,0.22209851886145765,101191680.0,109051904.0,0.1362936045974493,0.14866479970514768,3.1551444754402524,1.0583836376415783,6.858593769720751e-05,windowed,0.125,0.1015625,False
